,job_title,company_name,country,city,job_type,work_location,experience_level,yrs_exp,industry_and_skills,label
14,Senior Data Analyst,Partners Outsourcing Solutions,Egypt,Alexandria,Full Time,On-site,Experienced,1 - 2,"males_preferred, IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Analysis, analytical, Analyst, Data, Computer Science, Data Analyst, Data Analysis",2
15,Data Scientist,Lumin,Egypt,Giza,Full Time,Hybrid,Experienced,2 - 4,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Computer Science, Analysis, Mathematics, Data Analysis, Hadoop, Data Science, Information Technology (IT)",0
16,Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI,Egypt,Cairo,Full Time,Hybrid,Experienced,1+,"IT/Software Development, Analyst/Research, Training/Instructor, Analysis, business, Business Intelligence, Data Analysis, Computer Science, Power BI, SQL",2
17,Senior Java Developer,egabi solutions,Egypt,Cairo,Full Time,On-site,Experienced,2 - 10,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, Development, Information Technology (IT), Java, Banks, Design Patters, Web Development, SQL",0
18,Junior Technical Project Manager,BBI-Consultancy,Egypt,Cairo,Full Time,Hybrid,Experienced,1 - 3,"IT/Software Development, Project/Program Management, Agile, Computer Science, English, Project Management, Scrum Master, Project Manager, Scrum, agile project management",2
19,"Email&Chat (Etisalat UAE), English Account Advisor, Maadi",Etisalat Egypt,Egypt,Cairo,Full Time,On-site,Entry Level,0 - 15,"Customer Service/Support, Operations/Management, Computer Skills, chat, Customer Care, Customer Service, Customer Support, Mail, English, Medical",1
20,"Email & Chat Account (Etisalat UAE), English Call Center",Etisalat Egypt,Egypt,Cairo,Full Time,On-site,Entry Level,0 - 15,"Business Development, Customer Service/Support, Sales/Retail, Computer Skills, chat, Customer Care, Customer Service, Customer Support, Mail, English",1
21,"Educational Center Academic Researcher (medicine, Pharmaceutical, nursing)",الناجح للخدمات والاستشارات التعليمية والطلابية,Egypt,Cairo,Full Time,Hybrid,Manager,2+,"Writing/Editorial, Medical/Healthcare, Pharmaceutical, Academic, Research, Education, Clinical Research, Pharmaceutical, Pharmaceutical Sciences, Pharmaceutical Science",2
22,SAP PP Consultant,Arma-HSA,Egypt,Cairo,Full Time,On-site,Experienced,3 - 5,"IT/Software Development, computer, Computer Science, Data Migration, Implementation, Information technology, Information Technology (IT), S/4hana, SAP, Production",2
23,Power BI Developer,BI-Technologies,Egypt,Cairo,Full Time,Hybrid,Entry Level,1 - 5,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Computer Science, Power BI, SSRS, BI, SQL, Microsoft Power BI, Engineering",2
24,Devops Engineer Expert,BBI-Consultancy,Egypt,Cairo,Full Time,Hybrid,Experienced,6+,"IT/Software Development, cloudera, Big Data, Computer Engineering, DevOps, Kafka, Data, Hadoop, Computer Science",2
25,Administrative Assistant,AGCO,Egypt,Cairo,Full Time,On-site,Entry Level,0 - 3,"Administration, Customer Service/Support, Marketing/PR/Advertising, Administration, administrative, Admin, Communication, Customer Service, Customer Support, Customer Care",1
26,Business Analyst,Transformation Experts,Egypt,Cairo,Full Time,Remote,Experienced,1 - 6,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analysis, Information Technology (IT), systems analysis, SQL, Technical Writing, Analysis, Computer Science",0
27,Head of Science Department,Creatives International Schools ( CIS ),Egypt,Sharqia,Full Time,On-site,Senior Management,9+,"Operations/Management, Education/Teaching, Operations Management, Teaching, Education, Head of Department",2
28,Senior Data Scientist - Hybrid,Seoudi Supermarket,Egypt,Giza,Full Time,Hybrid,Experienced,3 - 5,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Data Science, Analysis, Computer Science, Machine Learning, Python, SQL",0
29,Data Analyst,Cairo Three A Poultry,Egypt,Cairo,Full Time,On-site,Experienced,3 - 5,"Analyst/Research, Power BI, Tableau, Data Analysis, SQL",2
30,Senior Data Warehouse Architect,Confidential,Kuwait,Kuwait City,Full Time,On-site,Experienced,3 - 5,"Engineering - Construction/Civil/Architecture, Project/Program Management, Tourism/Travel, Azure, SQL, ETL, Data Warehousing, Database",2
31,Data Analyst,Helal Group,Egypt,Cairo,Full Time,On-site,Experienced,3 - 5,"Analyst/Research, Data, Data Analyst, Data Analysis, Analysis, analytical, Analyst",2
32,Data Analyst,BTC-Egypt Gold,Egypt,Cairo,Full Time,On-site,Entry Level,0 - 2,"Analyst/Research, analytical, Analysis, Data, Data Analysis, Data Analyst",2
33,Data Analyst Specialist - FMCG,Confidential,Egypt,Cairo,Full Time,On-site,Experienced,3 - 4,"Hospitality/Hotels/Food Services, Manufacturing/Production, Analyst/Research, analytical, Computer Science, business, Analysis, Data Analysis, Statistics, Tableau",2
34,Senior Data Engineer ( Informatica Experience),BBI-Consultancy,Egypt,Cairo,Full Time,Hybrid,Experienced,3+,"IT/Software Development, Information Technology (IT), ETL, Computer Science, SQL, Data Analysis, Analysis",2
35,Coders - AI Training,Braintrust,UnitedStates,San Francisco,Part Time,Remote,Entry Level,Not Specified,"IT/Software Development, Engineering - Telecom/Technology, python, computer science, java, coding, HTML, C+, C#, .Net",2
36,Remote Python Data Science Analyst,Turing,Egypt,Cairo,Full Time,Not Specified,Entry Level,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, computer science, information technology (it), python, software development, engineering, sql, analysis",0
37,Remote Data Science Analyst,Turing,Egypt,Cairo,Full Time,Not Specified,Entry Level,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, computer science, information technology (it), software development, engineering, sql, analysis, python",0
38,Data Analyst,Hamza Group,Egypt,Giza,Full Time,On-site,Experienced,2 - 3,"Analyst/Research, Analysis, Data, Data Analysis, Data visualization, Data Collection, Data Mining, Reporting, Data Cleaning and Preprocessing, Data Quality Assurance",2
39,Data Science Analytics Analyst,Accenture Middle East,UnitedArabEmirates,Dubai,Full Time,Not Specified,Entry Level,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, computer science, information technology (it), software development, engineering, sql, python, science",0
40,Sr. Network and Security Engineer,Compuroots,Egypt,Cairo,Full Time,On-site,Experienced,3 - 6,"males_only, Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Cisco, Networking, Security, Information Technology (IT), FortiGate, Computer Science, Microsoft",0
41,Senior Data Analyst,Trufla,Egypt,Cairo,Full Time,Hybrid,Experienced,5+,"IT/Software Development, Analyst/Research, Analysis, Information Technology (IT), Computer Science, business, Data Analysis, Data, Economics, Engineering",0
42,Data Science Analytics Analyst,Accenture,UnitedArabEmirates,Abu Dhabi,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, computer science, information technology (it), software development, engineering, sql, python, science",0
43,iOS Developer,Madar Soft,Egypt,Alexandria,Full Time,Remote,Experienced,2 - 3,"IT/Software Development, Engineering - Telecom/Technology, Objective-C, RESTful APIs, Computer Science, Core Data, Information Technology (IT), Git, RESTful, Swift",2
44,Group IT Manager (MS Dynamics Experience),Confidential,Egypt,Cairo,Full Time,On-site,Senior Management,16+,"IT/Software Development, Engineering - Telecom/Technology, Microsoft Dynamics CRM, microsoft dynamics 365, CRM, Computer Science, data centers, Project Management, Information Technology (IT), ERP",2
45,Data Engineer - Skills Acquisition,PrecisionHire Solutions,SaudiArabia,Makkah,Full Time,Not Specified,Entry Level,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Computer Engineering, Engineering, Software Engineering, Software Development, SQL",0
46,Data Analytics Intern,Merck Sharp & Dohme Corp,UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Computer Science, Information Technology (IT), SQL, Analysis, Data Analytics, BI, Data Analysis",0
47,"Data Center Facility Engineer (Saudi/GCC National), DCC Communities",AWS EMEA SARL (Saudi Arabia Branch),SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Engineering, EMC, Cisco, Data Center, IBM",2
48,Data Engineer (KSA) - WSP,PrecisionHire Solutions,SaudiArabia,Riyadh,Full Time,Not Specified,Entry Level,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Computer Engineering, Engineering, Software Engineering, Software Development, SQL",0
49,Work From Home Data Entry Assistant (Remote),Infinite Wisdom Inc d/b/a Enerjiggle Bounce Emporium,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Administration, IT/Software Development, Engineering - Telecom/Technology, microsoft office, administration, information technology (it), computer science, data entry, communication skills, management",0
50,Senior Data Center Engineer - Giza Systems EG,PrecisionHire Solutions,SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Engineering, Computer Engineering, Software Engineering, Cisco, EMC",0
51,Senior Data Product Manager,Careem,UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Marketing/PR/Advertising, Project/Program Management, Marketing, Computer Science, Product Management, Sales, Information Technology (IT), Advertising, MBA",1
52,Data Governance Specialist,Abdullah Abdulghani & Bros.Co. (AAB),Qatar,Doha,Full Time,Not Specified,Not specified,Not Specified,"Administration, IT/Software Development, Analyst/Research, Data Entry, Administration, Microsoft Office, Admin, Computer Skills, Typing, Customer Service",2
53,Data Scientist (Arabic Speaking),INVADE Solutions LTD,UnitedArabEmirates,Dubai,Freelance / Project,Not Specified,Entry Level,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Data Scientist, Machine Learning",0
54,Data Scientist,INVADE Solutions LTD,UnitedArabEmirates,Dubai,Freelance / Project,Not Specified,Entry Level,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Data Scientist, Machine Learning",0
55,Data Entry Opportunities For Remote Work,VideoCustomizer,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, microsoft office, data entry, communication skills, management",1
56,Remote Work-From-Home Data Entry Role,VideoCustomizer,UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, microsoft office, data entry, remote",0
57,Data Scientist Instructor,Pianat.ai,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Machine Learning, Data Scientist",0
58,Data Management and Governance Trainer,Pianat.ai,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Human Resources, IT/Software Development, Engineering - Telecom/Technology, information technology (it), microsoft office, computer science, engineering, management, project management, training",0
59,Senior Data Warehouse Architect,Adecco,UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Logistics/Supply Chain, Engineering - Telecom/Technology, information technology (it), computer science, software development, engineering, sql, java, etl",0
60,Data Management,Pianat.ai,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Administration, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Microsoft Office, Data Entry, Computer Science, Administration, Data Analysis, Office Management",0
61,Data entry opportunities for remote work,"Henninge Virtual Assistant Services, LLC",UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, microsoft office, data entry, communication skills, management",1
62,Data Entry Roles Remote Work (Part-Time/Full-Time),"OPTICDATA, S.L.",SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, microsoft office, engineering, data entry, management, communication skills",0
63,Data Scientist,Mendel.ai,Egypt,Cairo,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Data Scientist, Machine Learning",0
64,Data Entry Opportunities For Remote Work From Home,CSI Advisory Services,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, data entry, communication skills",1
65,Data Entry Opportunities For Remote Work From Home,"Safe Access, Inc",UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, data entry, communication skills",1
66,Data Governance and Compliance Lead Expert,"Zakat, Tax and Customs Authority",SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, engineering, microsoft office, management, science, design",0
67,Data Analyst,Truelancer.com,SaudiArabia,Riyadh,Full Time,Not Specified,Entry Level,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",0
68,Remote Data Entry Opportunities Work-From-Home,IVY Models&Promotion,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, data entry, communication skills",1
69,Data Entry Opportunities For Remote Work,"Mirlyn, Inc",UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, microsoft office, data entry, communication skills, management",1
70,Remote Work-From-Home Data Entry Role,Acme Files,UnitedArabEmirates,Dubai,Part Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, microsoft office, data entry, maintenance",0
71,Remote Work Opportunities Data Entry Role,Acme Files,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, management, communication skills",1
72,Remote Work-From-Home Data Entry Role,MJB e-Services LLC,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, microsoft office, data entry, maintenance",0
73,"Data Center Infrastructure Delivery Manager, DCC Communities",Amazon Web Services (AWS),SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, engineering, computer engineering, networking, installation, aws",0
74,Remote Work Opportunities Data Entry Role,MJB e-Services LLC,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, information technology (it), computer science, sales, customer service, microsoft office, management, communication skills",1
75,Remote Data Entry Work - Part Time/Full Time,MJB e-Services LLC,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, computer science, information technology (it), microsoft office, administration, data entry, communication skills, maintenance",0
76,"Data Center Infrastructure Cluster Leader KSA (Saudi National), DCC Communities",AWS EMEA SARL (Saudi Arabia Branch),SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, software engineering, engineering, cloud, networking, maintenance",0
77,"Data Centre Engineering Facility Manager (Saudi/GCC National), DCC Communities",Amazon Web Services (AWS),SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"Engineering - Construction/Civil/Architecture, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical, Electrical Engineering, Mechanical Engineering, Facility Management, Engineering, Maintenance, Building Management, Civil Engineering",2
78,"Data Center Facility Engineer, DCC Communities",AWS EMEA SARL (Saudi Arabia Branch),SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, information technology (it), engineering, computer science, computer engineering, electrical engineering, maintenance, networking",0
79,"Data Center Chief Engineer, DCC Communities",AWS EMEA SARL (Saudi Arabia Branch),SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, engineering, computer engineering, networking, electrical engineering, maintenance",0
80,"Data Center Chief Engineer, DCC Communities",Amazon Web Services (AWS),SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, engineering, computer engineering, networking, electrical engineering, maintenance",0
81,Remote Work-From-Home Data EntryRemote Role,Activnet,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, remote, maintenance, quality assurance",0
82,Remote Work-From-Home Data EntryRemote Role,Code Cooking,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, remote, maintenance, quality assurance",0
83,Remote Work-From-Home Data Entry Role,Code Cooking,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, computer science, information technology (it), computer engineering, project management, microsoft office, data entry, maintenance",0
84,Work-From-Home Data Entry Positions,Code Cooking,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, microsoft office, information technology (it), sales, computer science, data entry, communication skills, management",1
85,Entry level Tasks (Remote Data entry operator),Interactive Labs,UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"R&D/Science, Engineering - Oil & Gas/Energy, Engineering - Other, Engineering, Science, LWD, Administration, Chemistry, Communication Skills, Computer Science",2
86,HR Data Analyst,IKK Group – Isam Khairi Kabbani Group,SaudiArabia,Makkah,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), Microsoft Office, SQL, Microsoft Excel",0
87,Data Analyst,iSchool Limited,Egypt,Cairo,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",0
88,Remote Data Entry Positions (Work-From-Home),Boree Potash Pty Ltd,UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, computer science, information technology (it), customer service, engineering, microsoft office, data entry, management",0
89,Remote Data Entry Positions (Work-From-Home),Activnet,UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, computer science, information technology (it), customer service, engineering, microsoft office, data entry, management",0
90,"Data Center Operations Cluster Leader KSA (Saudi National), DCC Communities",Amazon Web Services (AWS),SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"Customer Service/Support, IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, customer service, call center, operations, management, engineering",1
91,"Data Center Operations Cluster Manager, DCC Communities",Amazon Web Services (AWS),SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"Customer Service/Support, IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, customer service, customer support, engineering, management, operations",1
92,"Data Centre Engineering Facility Manager, DCC Communities",Amazon Web Services (AWS),SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, engineering, information technology (it), computer science, mechanical engineering, electrical engineering, maintenance, project management",0
93,"Data Center Engineering Operations Cluster Manager, DCC Communities",Amazon Web Services (AWS),SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, information technology (it), computer science, engineering, linux, maintenance, networking, software",0
94,Data & Analytics Executive,Mindshare NA,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Administration, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Data Entry, Microsoft Office, Administration, Data Analysis, Software Development",0
95,Entry-Level Tasks (Remote Data Entry Operator),"Mirlyn, Inc",SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"R&D/Science, Engineering - Oil & Gas/Energy, Engineering - Other, Engineering, Science, LWD, Administration, Chemistry, Communication Skills, Computer Science",2
96,Data Scientist,MBC Group,UnitedArabEmirates,Dubai,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), SQL, Data Science, Data Scientist, Machine Learning",0
97,Data Insights Manager,MediaMonks,Egypt,Cairo,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Data Management, Microsoft Office, Market Research, Marketing, SQL",0
98,Flexible Remote Work - Data Entry Clerk,Code Cooking,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"Customer Service/Support, Operations/Management, Marketing/PR/Advertising, Customer Support, Management, Computer Science, Customer Service, E-commerce, English, Marketing",1
99,Data Analyst (OTT Platform Experience),Virtasant,Qatar,Doha,Freelance / Project,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",0
100,Data Analyst,Epson Middle East,UnitedArabEmirates,Dubai,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",0
101,Remote Python Data Scientist,Turing,Egypt,Cairo,Full Time,Not Specified,Entry Level,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, information technology (it), python, computer science, computer engineering, sql, engineering, data science",0
102,Data Analyst,Steer Studios,SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel",0
103,Senior Data Analyst,QUANT,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Analysis, Data Analysis, Business Analysis, Microsoft Office, SQL",0
104,Senior Data Scientist,Siemens Technology and Services Private Limited,Egypt,Cairo,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Computer Science, Information Technology (IT), SQL, Python, Engineering, Data Analysis, Software Development",0
105,Compliance Officer – Data Products,Dicetek LLC,UnitedArabEmirates,Dubai,Freelance / Project,Not Specified,Experienced,Not Specified,"IT/Software Development, Quality, Engineering - Telecom/Technology, engineering, microsoft office, information technology (it), computer science, quality, management, operations",0
106,Data management Business Analyst,Cloudberry Solutions,Egypt,Cairo,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analysis, Information Technology (IT), Computer Science, Analysis, Project Management, Business Development, Software Development",0
107,Senior Data Engineer,Turing,Egypt,Cairo,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, Engineering, Information Technology (IT), Computer Science, Software Engineering, Software Development, Computer Engineering, Mechanical Engineering",0
